battle_id,bucket,reasons_str,n_snaps,n_minutes,win_camp,has_finished_status,n_json_total,n_json_live,n_json_backfill,n_json_bad,max_backward_jump_sec,minute_min,minute_max
1222656528_7_1781848850,quarantine,too_few_snaps:1<5;too_few_minutes:1<8,1,1,1,True,27,27,0,0,0.0,14,14
1272988176_17_1782477089,quarantine,missing_win_camp,17,8,0,False,27,27,0,0,0.0,1,9
1272988176_4_1782993646,quarantine,missing_win_camp,37,13,0,False,70,70,0,0,0.0,1,16
1272988176_7_1782999817,quarantine,missing_win_camp,23,12,0,False,28,28,0,0,0.0,3,14
1373651472_20_1779524218,quarantine,too_few_snaps:1<5;too_few_minutes:1<8,1,1,2,True,4,4,0,0,0.0,18,18
434127376_4_1782466310,quarantine,too_few_snaps:4<5;too_few_minutes:4<8,4,4,2,True,5,5,0,0,0.0,1,14
434127376_6_1783062333,quarantine,missing_win_camp,35,13,0,False,98,98,0,0,0.0,1,13
434127376_7_1782471476,quarantine,missing_win_camp;too_few_minutes:3<8,6,3,0,False,9,9,0,0,0.0,1,3
48251408_10_1782893423,quarantine,missing_win_camp,22,11,0,False,32,32,0,0,0.0,1,11
48251408_11_1782898351,quarantine,missing_win_camp,37,15,0,False,65,65,0,0,0.0,1,16
48251408_30_1782023748,quarantine,missing_win_camp,29,13,0,False,58,58,0,0,0.0,1,13
48251408_35_1783148188,quarantine,missing_win_camp,50,17,0,False,134,134,0,0,0.0,1,17
48251408_38_1783159888,quarantine,missing_win_camp,43,14,0,False,110,110,0,0,0.0,1,14
48251408_39_1782288689,quarantine,missing_win_camp,18,13,0,False,25,25,0,0,0.0,1,17
48251408_44_1782304526,quarantine,too_few_minutes:7<8,10,7,1,True,17,17,0,0,0.0,1,12
